id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
417444904789213184,417438975972753410,2013-12-29 18:59:55 EST,2013-12-29,18:59:55,-500,18628453,ibethsalterego,S A L S A V E R D E 💚🌱,,"We had it so poppin at The Lodge for #SXSW last year, that the day I got back home, the Austin PD called me askin questions I swear lol!",en,[],[],[],0,0,1,['sxsw'],[],https://twitter.com/ibethsalterego/status/417444904789213184,FALSE,,0,,,,,,,,[],,,,
417444635636928512,417430494028894208,2013-12-29 18:58:51 EST,2013-12-29,18:58:51,-500,303138242,stefanolumine,STEFANO LUMINE Music,,@LizzJustLizz @sxsw Unfortunately no,en,"[{'screen_name': 'sxsw', 'name': 'sxsw', 'id': '784304'}]",[],[],1,0,1,[],[],https://twitter.com/StefanoLumine/status/417444635636928512,FALSE,,0,,,,,,,,[],,,,
417444307684306944,417444307684306944,2013-12-29 18:57:33 EST,2013-12-29,18:57:33,-500,121999660,heykratzman,Megan Kratzman,,SXSW Interactive #sxswi is out!  http://t.co/tzXEcsFKLT Stories via @petetrainor,en,"[{'screen_name': 'petetrainor', 'name': 'be safe. be smart. be kind.', 'id': '1294597784553783296'}]",['http://paper.li/megantime/1327618267'],[],1,1,0,['sxswi'],[],https://twitter.com/heykratzman/status/417444307684306944,FALSE,,0,,,,,,,,[],,,,
417444036916428800,417430494028894208,2013-12-29 18:56:28 EST,2013-12-29,18:56:28,-500,28573074,lizzjustlizz,LizJustLiz😎QnwardThruTheSmog🇺🇸,,@StefanoLumine Have you ever been to Austin Texas? or @sxsw ?,en,"[{'screen_name': 'sxsw', 'name': 'sxsw', 'id': '784304'}]",[],[],1,0,0,[],[],https://twitter.com/LizzJustLizz/status/417444036916428800,FALSE,,0,,,,,,,,[],,,,
417442540409745409,417442540409745409,2013-12-29 18:50:32 EST,2013-12-29,18:50:32,-500,14190399,metaphysicalist,Metaphysicalist,,"Texas Governor, Rick Perry, encourages Israel’s startup &amp; creative economy to come to SXSW 2014: We spok...  http://t.co/kJvaf3GswV #SXSW",en,[],['http://binged.it/19wEqWo'],[],0,0,0,['sxsw'],[],https://twitter.com/Metaphysicalist/status/417442540409745409,FALSE,,0,,,,,,,,[],,,,
417440941083852800,417440941083852800,2013-12-29 18:44:10 EST,2013-12-29,18:44:10,-500,28132984,grimori,Chris Armisen,,was just reminded of the gay wrestling doc filmed in Texas(its crew are walking in area)partly &amp; The Tosser(finish move Salad Shooter).SXSW?,en,[],[],[],0,0,0,[],[],https://twitter.com/Grimori/status/417440941083852800,FALSE,,0,,,,,,,,[],,,,
417438773996048384,417438773996048384,2013-12-29 18:35:34 EST,2013-12-29,18:35:34,-500,18628453,ibethsalterego,S A L S A V E R D E 💚🌱,,"Putting on events at SXSW is NOT cheap, trust me. This is my 2nd year doing it &amp; I'm still paying off a debt from last year. #keepinitreal",en,[],[],[],0,0,0,['keepinitreal'],[],https://twitter.com/ibethsalterego/status/417438773996048384,FALSE,,0,,,,,,,,[],,,,
417438379454644224,417438379454644224,2013-12-29 18:33:59 EST,2013-12-29,18:33:59,-500,244954215,gssmuk,GSS Media,,7 Apps From SXSW You Don't Want to Miss  http://t.co/3ZFSIsRtWS #Technology,en,[],['http://www.gssmedia.com/7-apps-from-sxsw-you-dont-want-to-miss/'],[],0,0,0,['technology'],[],https://twitter.com/gssmuk/status/417438379454644224,FALSE,,0,,,,,,,,[],,,,
417437471946080256,417437471946080256,2013-12-29 18:30:23 EST,2013-12-29,18:30:23,-500,1729663322,andreunet,Javi Andreu,,@annaleenyc Thank you Anna for your fav. Happy 2014! #Kred #SXSW #VIP,en,[],[],[],0,0,0,"['kred', 'sxsw', 'vip']",[],https://twitter.com/andreunet/status/417437471946080256,FALSE,,0,,,,,,,,[],,,,
417437417096765441,417437417096765441,2013-12-29 18:30:10 EST,2013-12-29,18:30:10,-500,754497,djsteen,Derek Steen -- For Hire,,So what’s the lowdown on accommodation for SXSW? Does anyone need an Aussie to tickle them to sleep?,en,[],[],[],0,0,0,[],[],https://twitter.com/djsteen/status/417437417096765441,FALSE,,0,,,,,,,,[],,,,
